"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "HTML", "JSON", "Prisma", "Properties", "SQL", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240602212923_some_many_to_many_relations_here_and_there\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 24, 18, 89
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240602213601_some_many_to_many_relations_here_and_there\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 1, 9
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240620172126_some_updates_in_store\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 16, 4, 29
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240621175230_update_in_store_model_sotore_number_field\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622031455_update_logo_and_banner_are_required\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 1, 11
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622223617_now_using_teteu_database\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 12, 2, 20
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622232159_now_using_teteu_database_v2\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 1, 11
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 20, 142
"c:\Users\pottassiu\Documents\Weeat\Server\src\@types\user.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\favoriteController.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\planController.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\productController.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\storeController.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 200
"c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\userController.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 90
"c:\Users\pottassiu\Documents\Weeat\Server\src\middlewares\auth.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
